[2025-01-29 00:22:25] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 00:26:41] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 00:30:38] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 10:56:50] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 11:03:26] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', ''), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 11:05:04] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 12:31:48] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'inter'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 13:21:51] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
[2025-01-29 13:24:28] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2025'), ('type', 'all_Commodities_from_fci'), ('applicable', 'jan'), ('username', 'admin@pds')])
